max_depth,cut_off,accuracy,recall,Performance
3,0.05,0.9751949954468069,0.7414448669201521,0.8424053751417453
3,0.1,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.15000000000000002,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.2,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.25,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.3,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.35000000000000003,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.4,0.994887106004816,0.46340304182509506,0.6322935279803736
3,0.45,0.9967605740262826,0.32604562737642584,0.4913636273520123
3,0.5,0.9967605740262826,0.32604562737642584,0.4913636273520123
3,0.55,0.9967605740262826,0.32604562737642584,0.4913636273520123
4,0.05,0.9927670816731275,0.6321292775665399,0.7724272807448803
4,0.1,0.9941402383497644,0.6245247148288974,0.7671323798493216
4,0.15000000000000002,0.9941402383497644,0.6245247148288974,0.7671323798493216
4,0.2,0.9941402383497644,0.6245247148288974,0.7671323798493216
4,0.25,0.9941402383497644,0.6245247148288974,0.7671323798493216
4,0.3,0.9957833471908778,0.46387832699619774,0.6329169578324856
4,0.35000000000000003,0.9957851468719743,0.46387832699619774,0.6329173213528704
4,0.4,0.9957851468719743,0.46387832699619774,0.6329173213528704
4,0.45,0.9957851468719743,0.46387832699619774,0.6329173213528704
4,0.5,0.9957779481475882,0.4619771863117871,0.6311439881803653
4,0.55,0.996740777534221,0.32509505703422054,0.4902810038080309
5,0.05,0.9904670892317882,0.7072243346007605,0.82521760820887
5,0.1,0.9928372692358914,0.6886882129277566,0.8132559773026338
5,0.15000000000000002,0.993305186320984,0.6820342205323194,0.8087532899086917
5,0.2,0.9950940693309146,0.6135931558935361,0.7591070542957858
5,0.25,0.9951264635906517,0.6135931558935361,0.759116479854386
5,0.3,0.9951264635906517,0.6135931558935361,0.759116479854386
5,0.35000000000000003,0.9951264635906517,0.6135931558935361,0.759116479854386
5,0.4,0.9951264635906517,0.6135931558935361,0.759116479854386
5,0.45,0.996568008148956,0.39781368821292773,0.5686368315234354
5,0.5,0.996568008148956,0.39781368821292773,0.5686368315234354
5,0.55,0.996568008148956,0.39781368821292773,0.5686368315234354
6,0.05,0.9909584021711353,0.7062737642585551,0.8247403446251435
6,0.1,0.9930604296918586,0.6829847908745247,0.8093399409231469
6,0.15000000000000002,0.9930856252272098,0.6825095057034221,0.8090145007983516
6,0.2,0.9932421974826061,0.6825095057034221,0.8090664505472738
6,0.25,0.9932421974826061,0.6825095057034221,0.8090664505472738
6,0.3,0.9932421974826061,0.6825095057034221,0.8090664505472738
6,0.35000000000000003,0.9957005618604383,0.5903041825095057,0.7411909810229191
6,0.4,0.9957419545256581,0.5888783269961977,0.7400774344978697
6,0.45,0.9957419545256581,0.5888783269961977,0.7400774344978697
6,0.5,0.9957419545256581,0.5888783269961977,0.7400774344978697
6,0.55,0.9957419545256581,0.5888783269961977,0.7400774344978697
7,0.05,0.9872024677227196,0.7442965779467681,0.8487113178656407
7,0.1,0.9920670057265852,0.7048479087452472,0.8241501661138825
7,0.15000000000000002,0.9935013515605035,0.6725285171102662,0.8020960527497816
7,0.2,0.9941546357985365,0.6625475285171103,0.7951636825249572
7,0.25,0.9943759965734071,0.6563688212927756,0.7907671661043197
7,0.3,0.9943777962545037,0.6563688212927756,0.790767735168275
7,0.35000000000000003,0.9947665273713499,0.6449619771863118,0.7825522146488069
7,0.4,0.9947665273713499,0.6449619771863118,0.7825522146488069
7,0.45,0.9948655098316578,0.6444866920152091,0.782232860893577
7,0.5,0.9956177765299988,0.6026615969581749,0.7508331886358491
7,0.55,0.9959723137060112,0.5522813688212928,0.7105514541050871
8,0.05,0.9825017006986362,0.7775665399239544,0.8681032135565411
8,0.1,0.9925169260007127,0.6986692015209125,0.8200646834788342
8,0.15000000000000002,0.9928768622200146,0.6934410646387833,0.8165738825721592
8,0.2,0.9933249828130455,0.6863117870722434,0.8117596093642148
8,0.25,0.9933249828130455,0.6863117870722434,0.8117596093642148
8,0.3,0.993330381856335,0.6848859315589354,0.8107631876596185
8,0.35000000000000003,0.9941276405820888,0.6763307984790875,0.8049995441046611
8,0.4,0.9955223934318839,0.6354562737642585,0.7757439913872557
8,0.45,0.9955223934318839,0.6354562737642585,0.7757439913872557
8,0.5,0.9956771660061837,0.625,0.7679484129308581
8,0.55,0.9957851468719743,0.6183460076045627,0.7629364792229574
9,0.05,0.9842437920000576,0.7918250950570342,0.8776111555572667
9,0.1,0.9926806969804951,0.7019961977186312,0.8224081853109927
9,0.15000000000000002,0.9933807729270373,0.6948669201520913,0.817732422856936
9,0.2,0.9933915710136164,0.6943916349809885,0.817406873966351
9,0.25,0.9937911002170415,0.6758555133079848,0.8045525187393531
9,0.3,0.9940556533382284,0.6611216730038023,0.7941043248172834
9,0.35000000000000003,0.9940736501491936,0.6606463878326996,0.7937671039648313
9,0.4,0.9943166070972224,0.6554182509505704,0.7900581700576366
9,0.45,0.9946891410841999,0.6449619771863118,0.7825282683258943
9,0.5,0.9951624572125819,0.6226235741444867,0.7659994510452667
9,0.55,0.9954810007666641,0.5822243346007605,0.7347294203630126
10,0.05,0.9873356441238612,0.7618821292775665,0.860079738835463
10,0.1,0.9908954133327574,0.7195817490494296,0.8337208707984194
10,0.15000000000000002,0.9912985418983756,0.7134030418250951,0.8296999332896741
10,0.2,0.9933861719703269,0.6791825095057035,0.806771668822187
10,0.25,0.9937911002170415,0.6701520912547528,0.800497501951047
10,0.3,0.9938792845907705,0.6682509505703422,0.79916815497382
10,0.35000000000000003,0.993969268645596,0.6673003802281369,0.7985170515237681
10,0.4,0.9941744322905981,0.6606463878326996,0.7937992314110135
10,0.45,0.9941744322905981,0.6606463878326996,0.7937992314110135
10,0.5,0.9942536182588445,0.6549429657794676,0.789692896264557
10,0.55,0.9955187940696909,0.5755703422053232,0.7294189486066466
